Gregory Russo : 07-57-12-92-06
Norman Brown : 03-68-92-25-00
Idola Weaver : 04-49-82-74-53
Brock Sanchez : 05-64-19-79-07
Sawyer Mccarthy : 05-77-13-21-07
Derek Vang : 08-14-53-88-80
Lane Howell : 08-10-42-20-30
Keith Fleming : 08-84-16-48-69
Bianca Lowery : 01-16-83-72-23
India Lopez : 08-31-53-17-21
Halla England : 04-64-63-08-92
Ina Mcfadden : 03-17-43-85-50
Ivana Bryan : 07-96-22-52-16
Isadora Sellers : 09-66-00-50-19
Hashim Bird : 05-65-47-10-44
Chastity Martin : 07-66-00-06-64
Hillary Weiss : 03-20-49-87-21
Sheila Nieves : 05-48-62-12-61
Brody Harper : 02-69-14-23-59
Emma Fischer : 05-65-47-10-44
Coby Goodwin : 07-14-65-82-17
Robin Langley : 07-27-16-23-64
Quyn Herring : 02-78-60-74-58
Gemma Carroll : 04-77-47-11-05
Aristotle Shepard : 03-62-55-27-72
Kay Walton : 06-12-22-67-80
Margaret Cox : 05-22-27-52-44
Aretha Stephens : 04-08-48-95-68
Shelley Stanton : 06-04-06-52-88
Thaddeus Norman : 03-60-21-08-03
Mara Ochoa : 01-72-21-50-71
Oleg Newman : 01-74-51-67-29
Piper Blankenship : 04-86-04-30-26
Gabriel Zamora : 08-85-70-25-62
Asher Ross : 07-90-44-45-82
Noah Riley : 06-84-95-40-88
Teagan Montoya : 04-66-58-03-15
Burton Good : 09-89-07-35-67
Frances Coffey : 05-38-68-65-06
Shaeleigh Grimes : 02-53-22-47-77
Keelie Boyle : 04-22-06-66-54
Buckminster Gould : 09-36-28-60-53
Beverly Walker : 03-93-61-37-68
Idola Carney : 01-98-20-53-38
Flavia Odonnell : 03-73-81-27-51
Nash Hurst : 06-08-70-40-47
Gavin Sargent : 01-88-43-15-28
Marshall Wade : 02-06-42-56-30
Aline Levy : 03-53-28-85-01
Lydia Christian : 02-02-72-26-54
Kylie Hensley : 02-78-60-74-58
Alec Schultz : 04-17-29-46-94
Cody Hays : 03-34-46-65-87
Keegan Mcneil : 08-90-65-18-59
Yoko Montgomery : 04-31-25-45-73
Taylor Sargent : 05-56-58-74-99
Kieran Kelley : 02-60-43-41-12
Rogan Morrow : 02-96-66-34-45
Ezra Saunders : 02-78-60-74-58
Amelia Petersen : 07-38-65-33-82
Stuart Gross : 03-16-10-91-91
Holmes Bass : 03-11-58-09-53
Inez Cochran : 08-48-46-10-49
